seq_id,site_id,geo_tract,add_num,add_str,zipcode,muni,nhood,prop_name,year_blt,company,park_incl,cost_space,park_add,nrs_tserv,hou_type,rnt_studio,rnt_unit1,rnt_unit2,rnt_unit3,rnt_unit_t,cnd_studio,cnd_unit1,cnd_unit2,cnd_unit3,cnd_unit_t,vac_studio,vac_unit1,vac_unit2,vac_unit3,vac_unit_t,sub_studio,sub_unit1,sub_unit2,sub_unit3,sub_unit_t,cost_apt_s,cost_apt_1,cost_apt_2,cost_apt_3,cost_cnd_s,cost_cnd_1,cost_cnd_2,cost_cnd_3,ov_lot_spc,ov_gar_spc,ov_lot_veh,ov_gar_veh,ov_spc,ov_veh,ov_empt,apt_unit_t,apt_occu_t,util_rate,park_dem,park_sup,supply_tot,x_coord,y_coord,ct_pop_tot,bg_pop_den,bg_emp_den,bg_act_den,walk_score,jobs_30min,mbta_rapid,mbta_crail,bldg_agec,bldg_szec,rental,bldg_affp,bldg_bed1,bldg_bed2,bldg_bed3,avg_bedrms,bldg_bed1p,bldg_bed2p,bldg_bed3p,rent_punit,rent_proom,sfc_vs_gar,park_bike,park_bund,park_cost,cost_v_unt,cost_v_brm,phase
1359,160,25017336200,180,Green Street,2176,Melrose,0,180 Green Street,1987,0,Yes,$0,Parking is provided on a first come; first served basis,f,Condominiums,0,0,0,0,0,0,21,59,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,19,78,12,119,90,29,80,80,0.76,1.13,1.49,1.49,42.4657,-71.0606,6045,16.42,3.62,20.04,72,17198,f,t,2,2,0,0,21,59,0,1.74,0.26,0.74,0,0,0,0.19,t,1,0,0,0,phase 1 & 2
1360,161,25017336401,181,Pleasant Street,2176,Melrose,0,181 Pleasant Street,1968,0,Yes,$60,Parking is provided on a first come; first served basis,f,Apartments,2,132,132,0,266,0,0,0,0,0,0,0,0,0,0,0,15,3,0,18,925,1240,1450,0,0,0,0,0,323,0,277,0,323,277,46,266,266,0.86,1.04,1.21,1.21,42.4468,-71.0716,4744,7.38,1.01,8.39,60,16199,f,t,2,3,1,0.07,134,132,0,1.5,0.5,0.5,0,1341.84,896.81,0,f,1,60,0.04,0.07,phase 1 & 2
1361,162,25025160101,181,Highland Street,2150,Chelsea,0,181 Highland Street,2007,0,Yes,0,0,f,Apartments,0,5,12,3,20,0,0,0,0,0,0,0,0,0,0,0,3,4,3,10,0,1087,1260,1717,0,0,0,0,12,0,12,0,12,12,0,20,20,1,0.6,0.6,0.6,42.393,-71.0282,9286,68.29,2.79,71.08,84,84836,f,t,3,1,1,0.5,5,12,3,1.9,0.25,0.6,0.15,1285.3,676.47,0,f,1,0,0,0,phase 1 & 2
1362,163,25017354600,181,Walden Street,2140,Cambridge,Porter,Lincoln Way Apartments,2012,Cambridge Housing Authority,Yes,0,There is no option for additional parking,f,Apartments,0,6,18,46,70,0,0,0,0,0,0,0,2,0,2,0,6,18,46,70,0,1000,1250,1250,0,0,0,0,54,0,40,0,54,40,14,70,68,0.74,0.59,0.79,0.77,42.3879,-71.1289,5585,37.07,6.97,44.04,81,64207,t,t,3,2,1,1,6,17,45,2.57,0.09,0.25,0.66,1228.57,477.78,0,f,1,0,0,0,phase 1 & 2
1363,164,25025160501,183,Washington Avenue,2150,Chelsea,0,183 Washington Avenue,1910,0,Yes,$65,If a unit request an additional parking space; they must pay for the space separate from the rental price,f,Apartments,0,12,8,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1200,1595,0,0,0,0,0,0,24,0,18,24,18,6,20,20,0.75,0.9,1.2,1.2,42.3988,-71.0311,5145,77.36,3.1,80.46,83,74559,f,t,1,1,1,0.05,12,8,0,1.4,0.6,0.4,0,1358,970,24,t,1,65,0.05,0.07,phase 1 & 2
1364,165,25017336402,185,Essex Street,2176,Melrose,0,185 Essex Street,1947,0,Yes,0,If a unit request an additional parking space; they must pay for the space separate from the rental price,f,Condominiums,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,26,0,23,0,26,23,3,16,16,0.88,1.44,1.63,1.63,42.4581,-71.0687,5079,17.36,20.17,37.53,90,17597,f,t,2,1,0,0.13,0,16,0,2,0,1,0,0,0,0,t,1,0,0,0,phase 1 & 2
1365,166,25025160501,185,Washington Avenue,2150,Chelsea,0,185 Washington Avenue,1900,0,No,$70,Parking is not included with rent/purchase price-- residents pay for each space requested,f,Apartments,0,12,6,0,18,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,1000,1100,0,0,0,0,0,1,3,0,3,4,3,1,18,18,0.75,0.17,0.22,0.22,42.399,-71.0313,5145,77.36,3.1,80.46,83,74559,f,t,1,1,1,0.22,12,6,0,1.33,0.67,0.33,0,1033.33,775,3,f,0,70,0.07,0.09,phase 1 & 2
1366,167,25025092200,19-21,Faulkner Street,2122,Boston,Dorchester,19-21,2002,Trinity Management Company,Yes,0,There is no option for additional parking,f,Apartments,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,1250,1750,0,0,0,0,10,0,7,0,10,7,3,6,6,0.7,1.17,1.67,1.67,42.2996,-71.0614,3265,23.13,7.77,30.9,92,273176,t,f,3,1,1,0.5,0,3,3,2.5,0,0.5,0.5,1500,600,0,f,1,0,0,0,phase 1 & 2
1367,168,25017374400,1940,Washington Street,2466,Newton,0,Woodland Station Apartments,2010,National Development,Yes,0,If a unit request an additional parking space; they must pay for the space separate from the rental price,f,Apartments,0,75,96,9,180,0,0,0,0,0,0,0,3,2,5,0,17,17,2,36,0,2250,3000,3000,0,0,0,0,0,268,0,240,268,240,28,180,175,0.9,1.37,1.53,1.49,42.3331,-71.2428,6359,4.99,1.49,6.48,13,21411,t,f,3,3,1,0.2,73,93,9,1.63,0.42,0.53,0.05,2687.5,1645.41,268,f,1,0,0,0,phase 1 & 2
1368,169,25017341102,198,Clifton Street,2148,Malden,0,198 Clifton Street,1920,0,Yes,0,Parking is provided on a first come; first served basis,f,Apartments,0,8,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350,0,1600,0,0,0,0,16,0,9,0,16,9,7,10,10,0.56,0.9,1.6,1.6,42.4315,-71.0761,4203,36.81,3,39.81,73,46773,t,t,1,1,1,0,8,0,2,1.4,0.8,0,0.2,1400,1000,0,f,1,0,0,0,phase 1 & 2
1369,170,25021417200,2,Hancock Street,2171,Quincy,0,Neponset Landing,2010,Greystar,Yes,$45-$80,If a unit request an additional parking space; they must pay for the space separate from the rental price,t,Apartments,0,142,138,0,280,0,0,0,0,0,0,7,9,0,16,0,14,14,0,28,0,2250,2750,0,0,0,0,0,120,306,117,163,426,280,146,280,264,0.66,1.06,1.61,1.52,42.2833,-71.0367,7931,9.88,39.93,49.81,48,27416,f,f,3,3,1,0.1,134,130,0,1.49,0.51,0.49,0,2496.43,1672.25,2.55,f,1,45,0.02,0.03,phase 1 & 2
1370,171,25025081300,20,Amory Avenue,2119,Boston,Roxbury,Amory Terrace,2005,Winn Residential,Yes,0,There is no option for additional parking,f,Apartments,0,15,29,10,54,0,0,0,0,0,0,0,0,0,0,0,15,29,10,54,0,1250,1750,2250,0,0,0,0,30,0,22,0,30,22,8,54,54,0.73,0.41,0.56,0.56,42.3206,-71.1001,5573,35.2,13.78,48.98,82,269176,t,f,3,2,1,1,15,29,10,1.91,0.28,0.54,0.19,1703.7,893.2,0,f,1,0,0,0,phase 1 & 2
1371,172,25017370102,20,Watertown Street,2472,Watertown,0,Watertown Square Archstone Apartments,2004,Equity Residential,No,$60 for the first parking space; $125 for additional,Parking is not included with rent/purchase price-- residents pay for each space requested,f,Apartments,16,64,54,0,134,0,0,0,0,0,0,0,0,0,5,2,6,5,0,13,1750,1750,1750,0,0,0,0,0,0,185,0,131,185,131,54,134,129,0.71,1.02,1.43,1.38,42.3644,-71.1864,7938,16.57,15.36,31.93,85,66013,f,f,3,3,1,0.1,77,52,0,1.4,0.6,0.4,0,1750,1247.34,185,f,0,60,0.03,0.05,phase 1 & 2
1372,173,25025160300,200,Captains Row,2150,Chelsea,0,200 Captains Row,1987,0,Yes,$0,0,f,Condominiums,0,0,0,0,0,0,10,38,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,43,0,66,43,23,48,48,0.65,0.9,1.38,1.38,42.3908,-71.0466,2476,19.33,3.6,22.93,60,23089,f,f,2,2,0,0,10,38,0,1.79,0.21,0.79,0,0,0,0,f,1,0,0,0,phase 1 & 2
